,Title,Artists,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,Cluster
89,99 Problems,JAY-Z,0.494,0.887,-4.297,0.39799999999999996,0.0066099999999999996,0.0,0.10300000000000001,0.5479999999999999,89.554,234627,4
90,Summertime Blues,Eddie Cochran,0.721,0.82,-10.32,0.0448,0.387,0.00032599999999999996,0.198,0.966,155.968,120000,0
91,Thunder Road,Bruce Springsteen,0.374,0.606,-10.835999999999999,0.0347,0.667,1.23e-06,0.25,0.649,140.267,287360,1
92,All My Friends,LCD Soundsystem,0.701,0.7879999999999999,-5.611000000000001,0.0425,0.14800000000000002,0.625,0.0977,0.795,142.584,462267,5
93,One,U2,0.544,0.542,-8.624,0.0294,0.268,0.00197,0.114,0.33899999999999997,90.47200000000001,276187,2
94,The Tracks Of My Tears - Single Version / Mono,Smokey Robinson & The Miracles,0.521,0.386,-7.72,0.0292,0.727,0.0,0.33,0.7090000000000001,95.79299999999999,177733,1
95,This Charming Man - 2011 Remaster,The Smiths,0.611,0.846,-5.9,0.0436,0.00509,0.0,0.0784,0.7509999999999999,103.912,162920,0
96,Whole Lotta Shakin' Goin' On,Jerry Lee Lewis,0.35,0.573,-11.34,0.0317,0.741,2.0300000000000002e-05,0.171,0.562,163.654,173867,1
97,Heroin,The Velvet Underground,0.209,0.79,-10.12,0.0956,0.29,0.7979999999999999,0.0999,0.251,145.233,433573,5
98,Reach Out I'll Be There - Single Version / Mono,Four Tops,0.619,0.8029999999999999,-3.5210000000000004,0.0317,0.0703,0.0,0.27,0.73,119.538,179667,0
99,Kashmir - 1990 Remaster,Led Zeppelin,0.48,0.536,-11.165999999999999,0.0427,0.488,4.22e-05,0.155,0.581,80.617,508200,1
100,Eight Miles High,The Byrds,0.364,0.768,-10.492,0.0757,0.21,0.136,0.503,0.37,130.602,214640,3
101,That's All Right Mama,Elvis Presley,0.649,0.473,-7.875,0.0324,0.73,4.92e-05,0.17600000000000002,0.6579999999999999,105.04799999999999,120267,0
102,Dancing Queen,ABBA,0.5429999999999999,0.87,-6.513999999999999,0.0428,0.358,0.0009390000000000001,0.792,0.754,100.804,230400,3
103,Yesterday - Remastered,The Beatles,0.332,0.179,-11.83,0.0326,0.879,0.0,0.0886,0.315,96.529,125667,1
104,Get Up (I Feel Like Being A) Sex Machine - Pt. 1 & 2,James Brown,0.825,0.812,-4.663,0.10800000000000001,0.319,4.5799999999999995e-05,0.267,0.847,108.352,316253,0
105,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,0.794,0.8109999999999999,-8.966000000000001,0.038,0.0426,1.07e-06,0.10099999999999999,0.862,116.04700000000001,248413,0
106,Heart Of Glass [24-Bit Digitally Remastered 01] - Remastered 2001,Blondie,0.662,0.633,-7.792999999999999,0.0433,0.0078,0.0233,0.0689,0.657,115.007,350240,0
107,Walk This Way (feat. Aerosmith),Run–D.M.C.,0.759,0.578,-12.56,0.0468,0.00796,8.18e-05,0.0605,0.9440000000000001,105.598,309760,0
108,Proud Mary,Creedence Clearwater Revival,0.6990000000000001,0.6409999999999999,-7.564,0.0289,0.13,0.000218,0.0601,0.728,120.745,187213,0
109,Good Times,CHIC,0.87,0.657,-7.32,0.0522,0.149,0.0102,0.053,0.893,110.596,495400,0
110,Nothing Compares 2 U,Sinéad O'Connor,0.511,0.574,-7.016,0.0273,0.0425,2.33e-05,0.105,0.161,119.917,280040,2
111,Every Breath You Take - Remastered 2003,The Police,0.82,0.452,-9.796,0.0348,0.5429999999999999,0.00294,0.0701,0.74,117.40100000000001,253250,0
112,A Whiter Shade Of Pale,Procol Harum,0.305,0.5479999999999999,-8.839,0.0336,0.65,0.000546,0.184,0.36,74.586,243800,1
113,Fortunate Son,Creedence Clearwater Revival,0.648,0.6779999999999999,-7.461,0.0392,0.221,0.00456,0.14300000000000002,0.667,132.72899999999998,140773,0
114,Losing My Edge,LCD Soundsystem,0.769,0.9590000000000001,-8.717,0.0634,0.00020800000000000001,0.631,0.331,0.893,116.16799999999999,473067,5
115,Paranoid,Black Sabbath,0.418,0.6679999999999999,-11.297,0.08199999999999999,0.000143,0.0011300000000000001,0.17300000000000001,0.379,162.66299999999998,167933,2
116,She Loves You - Remastered,The Beatles,0.391,0.87,-5.939,0.0437,0.218,0.0,0.154,0.924,75.546,141333,0
117,Bridge over Troubled Water,Simon & Garfunkel,0.316,0.19899999999999998,-14.099,0.0275,0.846,0.0006490000000000001,0.121,0.233,82.814,293547,1
118,Blue Suede Shoes,Carl Perkins,0.516,0.665,-8.206,0.034,0.247,0.000986,0.191,0.965,168.795,137053,0
119,Rapper's Delight - Long Version,The Sugarhill Gang,0.847,0.828,-8.51,0.29600000000000004,0.385,0.0,0.39299999999999996,0.884,111.045,873733,4
120,Papa's Got A Brand New Bag - Pt. 1,James Brown,0.7609999999999999,0.787,-5.672000000000001,0.10400000000000001,0.542,0.14800000000000002,0.0826,0.89,130.311,126507,0
